Regulator	Molecule Type	Target genes	count	z-score	Direction
PTGS2	enzyme	ANG, ANGPT1, ANGPT2, ANXA1, ANXA2, AQP1, AREG, BAX, BBC3, BCL2, BCL2L1, BIRC3, BRCA1, CCL2, CCL3L3, CCL4, CCL5, CCND1, CCNE1, CCR7, CD44, CD68, CDH1, CDK5, CDKN1A, CDKN1B, CDKN2C, CHGA, CLU, CSN2, CTSD, CTSK, CXCL10, CXCL12, CXCL14, CXCL3, CXCL5, CXCL8, CXCR2, CXCR4, CYP19A1, CYP1B1, DLX5, DUSP1, DYNLL1, EDNRA, EGR1, ERBB2, ERBB3, ESRRA, EZR, FABP4, FLT1, FN1, FOS, GATA4, GRIA1, GRIN2A, GRIN2B, ICAM1, IFNA1/IFNA13, IFNB1, IGF1, IGFBP3, IL10, IL11, IL12A, IL1B, IL2, IL23A, IL6, ITGA6, ITGAL, ITGB4CHGA, ITGB4, KDR, LEP, LOR, MAPK9, MCL1, MKI67, MMP14, MMP2, MMP7, MMP9, MSR1, MYC, NBN, NEB, NOP2, NOS2, NOS3, NR4A2ANG, PIK3CG, PLA2G4A, PPA1, PTGER1, PTGER2, PTGER3, PTGER4, PTGS1, PTGS2, PTMA, RHOA, RPS19, RPS3A, RUNX2, SELL, SOST, SP7, ST3GAL1, STAR, STC1	113.0	3.809	induced
PTH	other	ADAMTS1, ADD3, AHNAK, ALOX15, ANGPT1, ANK3, AQP2, AREG, ARFGEF2, ATP2A2, BCL2, BGLAP, BHLHE40, BMP2, CARD14, CCL2, CCND1, CDKN1A, CDKN1B, CEBPB, CGNL1, COL1A1, COL1A2, COL2A1, CREM, CSF1, CTGF, CTNNB1, CXCL12, CXCL2, CXCR4, CYBA, CYP24A1, CYP27B1, CYP3A4, DISC1, DMP1, DUSP1, EFNB2, EGFR, EGR2, EIF4B, ESAM, FGF23, FN1, FOS, FOSB, FOSL2, GJA1, GNG12, GOLGB1, IBSP, ID4, IGF1, IGFBP3, IGFBP5, IL11, IL33, IL6, IL6R, ITGAV, JUNMEPE, MGP, MME, MMP1, MMP13, MMP2, MSX2, MTFR1L, NDRG2, NFIL3, NR4A1, NR4A2, OC90, ODC1, PALM, PDGFA, PHLDB2, PLAU, PLXDC2, POSTN, PPP1R1A, PPP1R1B, PPP2R5D, PTGS2, PTH1R, PUM1, PXN, RAP1GAP, RBM14, RGS1, RGS2, RMDN3, RUNX1, RUNX2, S100G, SDC4, SEC22B, SEC61B, SFRP2, SFRP4, SLC12A1, SLC2A4, SLC34A1, SLC43A2, SLC9A3, SMAD3, SMAD7, SMPX, SNX3, SOCS3, SORT1, SOST, SPP1, SRC, ST14, STC1, TFPI2, TGFB1, THBS4, TJP2, TMEM119, TNFRSF11B, TNFSF11, TNS1PHLDB2, TNS1, VDR, WIF1, WISP2, WNT10B, WNT3A, WNT4, WNT7AADAMTS1	133.0	4.078333333333333	induced
Pam3-Cys-Ser-Lys4	chemical reagent	ADGRE5, AKAP13, ALDH1A2, ANGPT2, AOX1, BCL2A1, BDKRB2, CARD9, CASP4, CASP8, CCL2, CCL3L3, CCL4, CCL5, CCL8, CCR1, CCR2, CCR7, CD180, CD274, CD40, CD40LG, CD55, CD58, CD69, CD80, CD83, CD86, CLDN1, CSF2, CSF3, CXCL13, CXCL2, CXCL3, CXCL6, CXCL8, CXCR1, CXCR2, CYLD, DEFB4A/DEFB4B, F3, FCGR2A, FCGR2B, GATA1, HLA-A, HLA-DRB5, ICAM1, ICOSLG/LOC102723996, IDO1, IFNB1, IFNG, IL10, IL12A, IL12B, IL17A, IL18, IL1A, IL1B, IL2, IL23A, IL2RA, IL32, IL36RN, IL4, IL6, IRF1, ITGA4, ITGB7CLDN1, ITGB7, LTB, MCL1, MMP1, MMP2, MMP3, MMP9, NAMPT, NFE2, NFKB1, NFKBIZ, NOS2ADGRE5, SLC40A1, SLC46A1, STAT1, TGFB2, TGFB3, TLR1, TLR2, TLR3, TLR4, TNF, TNFRSF13C, TRAF3, YWHAE	93.0	5.6745	induced
Pdgf (complex)	complex	AKT1, BAX, BCL2, CAV1, CCL2, CCND1, CCND2, CD44, CDK6, CDKN1A, CDKN1B, CDKN2B, COL4A1, CXCL3, CYBA, DIO3, EDN1, EGFR, EGR1, EIF2S1, EIF4E, ERRFI1, F10, F3, FAM189B, FASLG, FGF2, FN1, FOS, FOSB, FOXO1, FOXO3, GJA1, GRIA1, HEY1, HEY2, HIF1A, HMOX1, ICAM1, IL13, INHBA, IRS2, ITGA5, ITGB3, JAG1, JUN, JUNBCOL4A1, JUNB, LDLR, MCM6, MCM7, MEOX2, MMP1, MMP2, MYC, NCAM1, NOTCH1, NOTCH3, NOV, NOX1, NOX4, NR4A2, NTF3	63.0	3.5365	induced
Pka	complex	ANTXR1, ANTXR2, APOE, AQP2, ARC, AREG, BAX, BIRC5, CAMK4, CAV1, CCK, CCNB1, CCND3, CCR7, CD14, CD40, CDH2, CDK2, CDKN1A, CDKN1B, CEBPB, CETP, CNTF, COL10A1, CREM, CTGF, CXCL10, CYP11A1, CYP19A1, CYP51A1, DCT, DDIT3, DUOX1, DUSP1, DUSP4, E2F1, EDN1, EGR1, ETV2, FOS, FOXA2, FSHB, GDF9, GHRL, GJA1, HAS2, HMGCR, HMOX1, HNF4A, HOMER1, HOXB1, IFI27, IFI6, IFNG, IGF1, IL23A, IL4, IL5, IL6, IL9, IRF1, JUN, JUNBCETP, JUNB, KCNB1, KLF6, LDLR, LEP, LHCGR, LIPE, MEST, MMP3, MOS, MUC4, NCF1, NCOA2, NGF, NOS2, NOS3, NOX1, NR4A1, NR4A2, NR4A3, NTSGDF9, NTS, OXTR, PCK1, PDE4B, PDE4D, PENK, PKLR, PLD1, PNMT, POMC, POU1F1, POU2AF1, PPP1R1B, PRKCZ, PTGS2, PTHLH, REN, RGS2	102.0	4.433	induced
Pkc(s)	group	ABCA1, ACO1, ADM, AHR, APLN, APOA1, APP, AQP2, AQP3, AQP4, ARG2, ARNT, ATF2, ATF3, ATF6, BCL2, BCL2L1, BCL2L11, BDNF, BIK, CACNA1C, CARTPT, CCAR1, CCL2, CCND3, CCR2, CCR5, CD36, CD4, CD55, CD59, CDC6, CDKN1A, CDKN1B, CDX2, CGA, CLDN1, COL3A1, CPT1A, CRHR1, CTGF, CTNNB1, CTSB, CXCL8, CXCR4, CYBB, CYP19A1, CYP1A1, CYP2A6 (includes others), CYP2E1, CYR61, DBP, DDIT3, DNAJC3, DUSP1, EDN1, EGFR, EGR1, EGR2, ELAVL4, EP300, ERN1, F3, FABP4, FAS, FGF2, FGFBP1, FN1, FOS, FOSL1, FSHB, GADD45A, GADD45B, GAP43, GNRH1, GNRHR, GPER1, GRHL3, GSTA2, HIF1A, HMGCR, HMOX1, HOXA7, HPGD, HSP90B1, HSPA5, IAPP, IGF2, IL10, IL12B, IL2, IL6, IRF6, IRS1, ITGA5, ITGB1, IVL, JUN, JUNBCGA, JUNB, KCNJ2, KLF6, KRT8, LHB, LIPA, LOR, MAD1L1, MAFK, MAOB, MAP3K5, MAPK1, MAPK3, MMP1, MMP13, MMP2, MMP9, MS4A1, MSR1, MUC5AC, MYOG, NFKB1, NOS1, NOS2, NOTCH4, NOX4, NQO1, NR1D1, NR4A1, NR4A2, NR4A3GADD45A, NR4A3, OVOL1, P4HB, PDIA4, PER1, PER2, PHLDA1, PON1, POU1F1, POU2F2, PPARA, PPARG, PPP1R15A, PRKCA, PRL, PSCA, PTGS2, PTPRE, PTPRN, RARA, RARB, RB1, RBL1, RBL2, RGS2ABCA1, RGS2, S100A1, S100A8, SCARB1, SERPINE1, SLC1A2, SLC6A2, SLC6A3, SLC6A4, SLC6A9, SP1, SPP1, STAR, STC1, STC2, TAC1	171.0	6.13	induced
Pro-inflammatory Cytokine	group	ABCC2, ADIPOR2, ADM, AICDA, AKR1B1, APOE, ASS1, CALCA, CD47, CD55, CLU, CR1L, CSF2, CTNND2, CXCL13, ENPP1, EPO, F3, FGF2, GCLC, GLUL, GSTA1, HAMP, HDAC6, HMOX1, HP, HSPA5, ICAM1, IL6, ITGA1CLU, ITGA1, LCN2, LGALS1, LGALS9, LIPG, MMP3, MMP9, NFE2L2, NOS2, NOV, NR1H4, NR4A1	42.0	2.978	induced
R5020	chemical reagent	ABCC8, AREG, BCL2L1, BIRC3, CCND1, CCNE1, CDKN1A, CEBPA, CEBPB, CTSD, CYP19A1, CYP2A6 (includes others), DKK1, DUSP4, DUSP5, E2F1, EGFR, ENO2, ERBB2, ERBB3, FAM89B, FKBP5, FSHB, GAL, HBEGF, HNRNPAB, HSD11B2, HSD17B2, IER3, IFIT3, IFIT5, INHBB, IRS2CTSD, IRS2, LAMC2, LGALS3BP, MT2A, MYC, NAGA, NAT1, NCOA1, NR3C2	42.0	3.4530000000000003	induced
RABL6	other	H2AFX, HBEGF, HMMR, HMOX1, KIF23, MAD2L1, MCM10, MCM2, MCM5, MCM7, MELK, MYC, NCAPG, NDC80, NEK2, PARP2, PBK, PLK1, PMAIP1, POLA1, POLD1, POLE2, PRC1, PRIM1, PRM2, PSME3, PTPRM, RAD54B, RFC3MAD2L1, RFC3, SEL1L, SERPINH1, SMAD6, TMEM97, TOP2A, TP53ABAT, ATXN1, AURKB, BIK, BTG2, BUB1, BUB1B, CCNA2, CCNB1, CCNE2, CDC25A, CDC25C, CDK2, CENPF, CHEK1, CHEK2, CKS1B, CX3CL1	53.0	3.7755	induced
RAC1	enzyme	ABCB1, ACP5, ACTA2, AGT, AKT1, ANKRD1, APBB1, ATF3, BCL6, CCND1, CD86, CDC25A, CDH1, CDH2, CIITA, CKM, COL1A2, COL2A1, CRP, CTGF, CTNNB1, CYLD, DPYSL2, DUSP1, DYRK1B, ESR1, FAS, FGF2, FN1, FOS, GSN, HIF1A, HMOX1, HOXA1, HSPB1, ICAM1, IFNB1, IFNG, IL10, IL13, IL2, IL23A, IL33, IL4, IL5, IL6, IL6R, ITGA6, ITGB1, JUNCIITA, JUN, KIR3DL2, KRT14, KRT6B, MAPK8, MMP1, MMP13, MMP14, MMP2, MMP9, MYC, MYOG, NF2, NPPA, NPPB	65.0	2.401	induced
RAF1	kinase	ACAT2, ACOT7, AKAP12, AMD1, ANKRD1, ANKRD2, ANXA1, AP2B1, AREG, ATP6V1B1, BCL2, BCL2L11, BCL6, BECN1, BTG1, BZRAP1, CA2, CALCA, CCL19, CCND1, CD37, CD44, CD74, CDC25A, CDC42EP1, CDC6, CDKN1A, CDKN1B, CDKN2A, CDKN2B, CDON, CHN1, CLDN1, CLK1, CRP, CRYAB, CSF2, CSTA, CSTF1, CTNNB1, CTSH, CTSL, CXCL3, CXCR5, DCBLD2, DHRS3, DIO2, DUSP2, DUSP4, DUSP5, DUSP6, E2F1, EGR1, EGR3, ELK1, EMP1, EMP3, ERBB2, ESR1, FAM13A, FAM171A1, FAS, FBXW11, FGFBP1, FOS, GNRHR, GRN, HBEGF, HDC, HIF1A, HMGA2, HMGB3, HNRNPA2B1, HNRNPAB, HPCAL1, HSD11B2, HSPB1, ID3, IER2, IER3, IGBP1, IGF1R, IGFBP3, IL10, IL12A, IL12B, IL1B, IL1R1, IL2, IL23A, IL6, INS, ITGA2, ITGAM, ITGB1, ITGB3, ITGB4, ITGB5, JUNCHN1, JUN, KIAA0391, KLRC2, LAD1, LAMA3, LDHA, LDHC, LHB, LIF, LIFR, LPGAT1, MAOB, MCF2L, MCM8, MET, MGAT5, MGLL, MKI67, MMP1, MMP13, MMP3, MMP9, MT1B, MT1F, MT1L, MT1M, MT3, MXD1, MYBL2, MYC, NFKB1, NGF, NINJ1, NOP56, NPPA, NPYGNRHR, NPY, OCLN, OPCML, OSMR, PC, PCK1, PCSK6, PHLDA1, PHLDA2, PLAT, PLAU, PLAUR, PLD1, PLEC, PNP, PPP1R10, PRDM1, PRL, PRSS3, PTGS2, PTHLH, RAC1, RAN, RET, RFFL, RGS1, RND3, RPS2ACAT2, RPS2, RRM2, RTCB, SCNN1A, SDC1, SEC14L2, SELENBP1, SERPINB2, SERPINB7, SH2D1A, SLC16A7, SLC26A2, SMAGP, SNRPD1, SPRR1B, SPRY2, SQLE, ST3GAL4, ST6GALNAC2	182.0	7.919333333333333	induced
RARA	ligand-dependent nuclear receptor	AASS, ABCA1, ABCC2, ABHD2, ABLIM1, ACACA, ACACB, ADAM10, ADAM17, ADH1C, ALDH1A1, ALDH1A2, ALOX5, ANO10, APOA1, APOC3, APOM, ARHGAP1, ARNT2, ARPC5L, ASPM, ATF5, ATG13, BAZ2A, BIRC5, C18orf25, C5, CALB1, CASC5, CCNA1, CCNA2, CCNT2, CCPG1, CCR9, CD38, CDK1, CDKN1A, CDKN3, CDX1, CEACAM5, CEACAM6, CEBPB, CEBPE, CENPA, CENPF, CENPM, CENPN, CENPU, CLMN, CLN8, CLOCK, CNGA2, CNOT4, COBL, CP, CRABP2, CREBL2, CRH, CSF3, CSHL1, CTSS, CXCR5, SMC4, SMPD1, SP100, SP110, STAT1, STRA6, STX3, TAPBP, TERT, TFAP2A, TFF1, TG, TGFB1, TH, THBD, TLE4, TMSB15A, TNF, TNFAIP8L1, TNFRSF10A, TNFRSF10B, TP63, TRH, TSHB, TTC9, TTLL11, UBA7, UBE2T, UBL3, UBXN10, UCP1, UCP3, WHSC1, XK, YPEL1, ZNF141, ZNF24, ZNF367, ZNF544AASS, PHF19, PHLDB1, PLK4, PLXNA2, POU5F1, PRDM8, PTGS2, PTTG1, PVR, RARA, RARB, RARG, RBP1, RBP2, RET, RGS3, RNF38, RORC, RSAD2, RTP4, RUNX1, SAMD9, SAMHD1, SEC31A, SELL, SESN1, SETD2, SETD5, SFPQ, SFTPB, SGSM3, SHANK2, SHROOM1, SIPA1L1, SLC10A1, SLC25A36, SLC7A11	138.0	0.0	
RARB	ligand-dependent nuclear receptor	ACADM, ADAM10, APOA1, BCL2A1, BIRC2, CASP7, CCNE1, CDH5, CDKN1A, CDKN2B, CDX1, CRYAB, CXCL2, CXCL8, DLG1, DRD2, EGR1, ETS1, EZR, FGF21, FOLR2, GADD45A, GAP43, GATA4, GNB1, HLA-C, HNF1B, HOXA1, HOXA3, HOXA5, ICAM1, ID1, ID3, IGFBP3, IL1B, IL6, ILF2, ITGAVCRYAB, ITGAV, KRT1, MAP2K3, MMP1, MMP11	43.0	3.3395	induced
RASSF1	other	CLU, COL13A1, COL4A1, COL4A2, CPE, CRABP2, CREG1, CRIP2, CXCR4, DAB2, DACH1, DKK1, DPEP3, EFEMP1, EFNB2, EGFR, EGR1, EMP1, EPB41L3, ESR1, FGF2, FOS, FRMD4B, GDF15, GHR, GSN, HBEGF, HIST1H2BC, HLA-DPA1, HOXA1, IGFBP3, KISS1, KLF10, KLF4, LDB2, LIF, LITAF, MAP1B, MDK, MGMT, MRAS, MTUS1, MYC, MYL9, NOGGDF15, NOG, PAK1, PCDH7, PIWIL1, PLK2, PROS1, PTGS2, RASGEF1A, RNF182ABAT, ABCB1, ALDH1A1, AMIGO2, APOE, AREG, BCL2, BHLHE40, BMPR2, CARD8, CASP3, CASP4, CAV1, CAV2, CCNA2, CCND1, CCND2, CDH2, RNF182, SAMD5, SEPP1, SOX9, SPANXC (includes others), SPP1, SRPX	78.0	2.181	induced
RB1	transcription regulator	ACTB, AKT1, ALG5, ALPL, ANGPT2, APPL2, ASF1B, ATAD2, ATF2, ATOH1, AURKB, BARD1, BAX, BCL2, BCL2L11, BGLAP, BIRC5, BLM, BNIP3, BRCA1, BTG3, CASP3, CASP4, CASP6, CASP7, CASP8, CASP9, CBX5, CCNA1, CCNA2, CCNB1, CCND1, CCNE1, CCNE2, CDC25A, CDC25C, CDC6, CDCA4, CDCA5, CDCA7L, CDH1, CDK1, CDK2, CDKN1A, CDKN1B, CDKN2A, CDT1, CDX1, CDX2, CEBPA, CENPK, CHAF1A, CITED2, CKM, CLDN3, CMAS, CNOT6L, CPA4, CRADD, CSN2, CTGF, CWC27, CYP27B1, DCK, DCTN4, DDB2, DDX11, DEK, DHFR, DIO2, DLK1, DNMT1, DONSON, DYNLRB1, E2F1, E2F3, EDNRA, EED, EGR1, EHD3, EI24, EOMES, EPS8, EZH2, EZR, F3, FABP4, FAM111A, FAM86B1, FANCA, FANCL, FAS, FBXO5, FEN1, FGF2, FLT1, FN1, FOS, FOSL1, FOXC2, FOXN1, FST, GMNN, GMPS, GNRHR, GPRC5A, GPS2, GTF2H4, H1F0, HACD3, HAUS1, HIST1H1B, HIST1H2AE, HIST1H2BJ, HIST2H2BE, HIST4H4, HMGB2, HRAS, HUNK, ID1, IGF1, IGF1R, IL6, IVL, KANK2CHAF1A, KANK2, KCNK1, KDR, KIAA0101, KIT, KPNA4, KRT10, KRT18, KRT4, LACTB, LCK, LIG1, MAF, MAGEF1, MAPK1, MAPK3, MCM10, MCM2, MCM3, MCM4, MCM5, MCM6, MCM7, MCM8, MCMBP, MECR, MEF2C, MEIS1, MELK, MET, MFAP1, MSX1, MT1G, MTOR, MYB, MYBL2, MYC, NFKB2, NKX2-5, NPAT, NPY, NRF1ACTB, PGRMC1, PLK1, PMEPA1, POLD3, POMC, PPARG, PPARGC1A, PPARGC1B, PPFIBP1, PPT2, PRKAR1A, PTGS1, PTPN4, PTX3, PYY, RAB27A, RAD51, RAD51AP1, RANBP1, RB1, RBL1, RBL2, RECQL4, RFC3, RFC4, RMI1, ROBO3, RRM1, RRM2, RSL1D1, SAFB, SERPINE1, SH3BP2, SKP2, SLBP, SMARCA5, SNTB2, SOX7, SRPR, SUZ12, T	208.0	-3.2785	repressed
RBL2	other	ABCF2, ATOH1, AURKA, AURKB, BCL2L11, BRCA1, BUB1, BUB1B, CAMKK2, CASP4, CASP6, CCNB1, CCNB2, CCND1, CCNE1, CCNF, CDC25A, CDC25C, CDC6, CDK1, CDKN1A, CDKN1B, CDKN2A, CDR2, CDX1, CDX2, CHKA, CRADD, DHFR, DNMT1, DUSP10, E2F1, E2F4, ELK1, FAS, FOXN1, GRK6, GRPR, GSK3B, HADH, HCFC1, IVLABCF2, STMN1, TEAD4, TERT, TMEM11, TNF, TP73, TRAF5, TYMS, UCK2, UXT, VEGFA, VEGFB, XRCC3, ZEB1ABCF2, PIM1, PLK1, POLD1, PPM1G, PPP1R8, PRIM2, PSMB2, RAF1, RANBP1, RB1, RBL1, RBL2, RRM2, SFRP1	70.0	-5.059	repressed
RBPJ	transcription regulator	ASCL1, BMP2, BMP3, BMP7, CAMP, CCND1, CD44, CDCA7, CDKN1A, CDKN2A, CELA1, CER1, CPA1, CRP, CSF1, CSF2, CSF3, CTRB2, CXCL12, DLL1, DLL4, DTX1, DUSP1, ECT2, EGF, ELANE, EPHA4, ETS1, EZH2, FBXL19, FGF1, FGF10, FGF11, FGF13, FGF18, FGF2, FGF4, FGF5, FGF7, FGF8, FGF9, FIGF, FOS, GDF10, GDF5, GDNF, GLS, GNA12, GNAI1, HAS2, HES1, HES5, HEY1, HEY2, HGF, HMMR, HOXD1, HOXD3, IGF1, IGF2, IKBKB, IL12A, IL17A, IL17RA, IL18, IL1B, IL4, IL6, IL9, INHA, INHBA, INHBB, IRF8, JAG1, JUNCPA1, JUN, KITLG, LEF1, LEFTY1, LEFTY2, LFNG, LIF, MAP2K3, MAPK14, MAPK6, MDK, MESP2, MIB2, MMP13, MMP3, MSTN, MYC, MYOG, NEUROD1, NEUROG2, NFATC1, NFATC3, NFKB1, NGF, NHLH1, NRARP, NTF3, NTF4, OATGDF10, OAT, PDGFB, PGF, POGLUT1, PRDM1, PRKAR2A, PRSS3, PTCRA, REN, RORC	114.0	-3.935666666666666	repressed
REL	transcription regulator	ACAD9, ACSL4, ACSS2, ADK, AGA, AGPS, AHR, ANLN, AP5Z1, APLF, APP, ARFGAP3, ARHGEF11, ATP11A, ATXN1, B2M, BARD1, BBC3, BCL2, BCL2A1, BCL2L1, BCL3, BIRC5, BRCA1, C10orf2, CACNA1E, CAMK2D, CCL2, CCL4, CCND1, CCND2, CCNY, CCR8, CD200, CD40, CD40LG, CD59, CD80, CD86, CDC6, CDH1, CDKN1A, CDS2, CIITA, CLDN10, CMPK1, COPS4, COTL1, CR2, CREM, CRKL, CSF2, CTU2, CXCL10, CXCL8, CXCR3, DCLRE1B, DDX11, DDX18, DGCR2, DHFR, DNAH1, DNASE1L1, DUT, E2F3, EDARADD, EGR2, ENDOG, EPHB2, ESR1, ETV5, EVI5, EXOSC1, F3, FADS2, FAM132A, FAS, FBXL4, FCER2, FN1, FOS, FOXO3, FRMD4B, GADD45B, GPT2, GTF2H4, H2AFJ, HLA-A, ICAM1, ICK, IER3, IFIT1B, IFNB1, IFNG, IFNL1, IFT74, IGFLR1, IGK, IL12A, IL12B, IL13, IL18, IL2, IL21, IL22, IL23A, IL27, IL2RA, IL4, IL5, IL6, IL9, IRF4, IRF5, IRF6, JUN, JUP, KAT6ACIITA, KAT6A, KCNK6, KPNA3, MAFG, MAP3K8, MAPKBP1, MED12L, MINPP1, MLLT3, MMP9, MYC, NAB2, NFE2, NFE2L2, NFKB1, NFKB2, NFKBIA, NFKBID, NOS2, NR4A1, NR4A3, NRARPACAD9, PHF14, PHGDH, PHIP, PIBF1, PIK3CA, PIPOX, PLA2G16, PLK2, PMAIP1, POLB, PPP1R14B, PPP1R15A, PPP6R3, PTGDS, PYCARD, RAB40C, RAP2A, RBL1, RDH10, REL, RELA, RELB, RORC, RSAD2, SASS6, SCN11A, SH2B3, SLC22A15, SLC25A27, SLC35A3, SLC7A6, SNAI1, SNAI2, SOD2, SORBS1, SPIN1, STAT3, STAT5B	178.0	7.7745	induced
RELA	transcription regulator	A2M, ABCB1, ABCG2, ACTA2, ACTN4, ADAMTS5, AFP, AGT, AHR, AHRR, ALCAM, ANKRD1, AP1B1, APOE, APP, AR, ARFGAP3, ARHGDIB, ASCL2, ATP6AP2, B2M, BACE1, BAX, BBC3, BCL10, BCL2, BCL2A1, BCL2L1, BCL2L11, BCL3, BECN1, BEX2, BIRC2, BIRC3, BIRC5, BMP2, BNIP3L, BRCA2, BTG2, C3, CAMP, CARD8, CASP3, CASP8, CASR, CAV1, CBS/LOC102724560, CCL11, CCL19, CCL2, CCL20, CCL22, CCL3, CCL5, CCND1, CCR7, CD14, CD40, CD44, CD59, CD69, CD80, CDKN1A, CDKN1B, CDKN2A, CEBPB, CFB, CFTR, CHI3L1, CIITA, COL1A1, COL1A2, COL2A1, CR2, CRP, CSF2, CSN2, CTGF, CTSB, CXCL1, CXCL10, CXCL11, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CXCL9, CXCR4, CYBB, CYP17A1, CYP19A1, CYP1A1, CYP2B6, CYP2C9, CYP3A4, DDIT3, DEFB4A/DEFB4B, DGCR6/LOC102724770, DIO2, DUSP1, EDN1, EGR1, EHF, ELF3, ELN, ERAP1, ERAP2, ERBB2, EWSR1, F3, FABP6, FAS, FASLG, FCGRT, FGF10, FGF2, FGF8, FMN2, FOS, FSCN1, GBP1, GCH1, GDF15, GLI2, GP1BB, GRK5, GSTA1, GSTA2, HAS2, HES1, HIF1A, HLA-B, HMOX1, HNF4A, HTR1A, ICAM1, IER2, IER3, IFIT1B, IFNB1, IFNG, IFNGR2, IFNL1, IGF1, IGF1R, IGFBP2, IGK, IKBKE, IL10, IL12A, IL12B, IL13, IL15RA, IL17C, IL1A, IL1B, IL1RN, IL2, IL20, IL23A, IL2RA, IL32, IL4, IL6, IL7R, IL9, INPP5D, IRF1, IRF4, IRF7, ISG15, ITCH, JUN, JUNBCFB, JUNB, KIT, KLF10, KRT15, L3MBTL2, LGR5, LTA, LTB, LTC4S, LUM, LYN, MAT2A, MDM2, MGMT, MIA, MICA, MIF, MKL1, MMP1, MMP9, MST1R, MT-CYB, MUC1, MYB, MYC, MYOD1, NAMPT, NANOG, NF2, NFE2L2, NFKB1, NFKB2, NFKBIA, NFKBIB, NFKBID, NFKBIE, NMI, NOD2, NOS2, NOTCH1, NOX1, NOX5, NPPB, NR1I3, NR4A1, OAS2A2M, SLCO1B1, SMAD4, SMAD7, SMC1B, SNAI1, SOD2, SOX9, SP7, SREBF1, SREBF2, SRF, STAR, STAT5A, STIM1, SYTL1, TAC1, TACR1, TANK, TAP1, TAP2, TAPBP, TFPI2, TGFB1, TGM2, THOC1, TLR2, TLR9, TNF, TNFAIP2, TNFAIP3, TNFRSF10A, TNFRSF10B, TNFRSF11B, TNFRSF4, TNIP1, TP53, TP63, TPMT, TPO, TRAF1, TREM1, TRPC6, TSLP, TWIST1, TWIST2, UBE2H, VASP, VCAM1, VEGFA, VHL, WASF3, WT1, XIAP, ZBED4, ZDHHC8A2M, PI3, PI4KA, PLAU, PLD1, PLK1, PLK3, POU5F1, PPARG, PRDM1, PRDX6, PSMB10, PSMB9, PTEN, PTGDS, PTGES, PTGS2, PTPN6, PTX3, RABL2B, REG1B, REG3A, REG3G, RELA, RELB, RORC, SAA1, SAA2, SBF1, SDC4, SELE, SELP, SERPINE2, SFI1, SFTPA1, SHBG, SHH, SLC1A2, SLC2A4, SLC2A5	315.0	7.4405	induced
REST	transcription regulator	CHGB, CHRM4, CHRNB2, CMKLR1, CNTNAP1, CREB3L3, CRH, DCX, DDX25, DNMT3A, DRD3, EFNA5, EPHA10, FAM105A, FGF12, FGF14, FUT9, GAD1, GAP43, GJD2, GLRA1, GRIA2, GRIK3, GRIK4, GRIN1, GRIN2A, GRIN2B, GRM1, HNF1A, HNRNPUL1, HPGD, INA, JAM2, KCNAB2, KCNH6, KCNJ6, KCNQ2, KCNQ3, KCNQ4, KCNQ5, KIAA1549L, L1CAM, LHX5, LIN28A, LRRTM4, MAD2L1, MAPK8IP1, MYOG, NCAM2, NEFH, NELL1, NEUROD1, NKAIN2, NPC2, NPPA, NPTXR, NRP1, NRXN3, NTRK3, OATFUT9, OAT, OPRM1, OR10H3, OSBP2, P2RY4, PAX3, PAX4, PCLO, PCSK1, PENK, PHKB, POU4F1, PTPRN, RAB3A, REST, RGS7LRRTM4, RGS7, S100B, SCG2, SCG3, SCN2A, SCTR, SLC13A1, SLC18A3, SLC26A4, SLC7A14, SNAP25, SNN, SRRM4, STMN2, STX1A, SYN1, SYP, SYT1, SYT4, SYT7, TAC1, TNNT1, TPH2	99.0	-4.519666666666667	repressed
RET	kinase	AKAP9, ANXA1, ANXA4, AUH, CALB1, CCL2, CCL20, CCND1, CD151, CDKN1B, CLDN5, CLU, COL1A1, COL1A2, CSF1, CSF2, CSF3, CTSB, CTSV, CXCL1, CXCL10, CXCL12, CXCL8, CXCR4, DCN, DNAJA1, DNAJB2, DNAJC3, DPYSL2, DUSP6, DUSP8, EDNRB, EGR1, EIF4G3, FKBP4, FOS, GJA1, GRP, HSP90AA1, HSPA1A/HSPA1B, HSPA1L, HSPA8, HSPA9, HSPD1, HSPH1, IFNB1, IFNG, IL10, IL13, IL1B, IL5, IL6, INSM1, ITGA6CLDN5, ITGA6, KLK3, LOX, MAPKAPK2, MARK3, MET, MMP1, MMP10, MMP14, MMP3, MMP7, MMP9, NOS1, NOVGJA1, NOV, PER3, PHEX, PITPNM1, PLAU, PLAUR, PLOD2, POU1F1, PRNP, PTN, PTPN13, REEP6, RET, RNF11, RNF19AAKAP9, RNF19A, RTN4, S100A9, SCARA3, SDK1, SELL, SLC6A3, SST, ST13, STC1, STIP1, STMN2, STUB1, SUPT5H, SYMPK, TACC3	99.0	4.451333333333333	induced
